Country,Timestamp,Device Category,Key Actions,Page Path,Source,Avg Session Duration,Bounce Rate,Conversions,New Users,Page Views,Returning Users,Unique Page Views,Average time on home page (min),Website,Date,Time,Day
UK,04-10-2020 21:27,Desktop,Contact Form,/about,referral,78,69,5,756,195,85,867,2.59,Amazon Help,04-10-2020,21:27:00,Sunday
UK,11-04-2021 12:56,Desktop,Purchase,/about,organic search,100,26,32,624,1032,464,383,1.27,amazon.com,11-04-2021,12:56:00,Sunday
UK,02-11-2021 06:52,Mobile,Sign Up,/about,direct,144,45,6,538,665,307,1055,3.87,Amazon.com,02-11-2021,06:52:00,Tuesday
UK,11-10-2020 14:48,Mobile,Sign Up,/about,organic search,41,45,7,309,1255,311,799,5.08,Amazon Prime,11-10-2020,14:48:00,Sunday
UK,07-08-2023 10:47,Mobile,Sign Up,/about,organic search,174,50,47,290,1086,227,1388,5.89,Amazon Prime,07-08-2023,10:47:00,Monday
UK,11-06-2022 19:30,Desktop,Subscribe,/about,paid search,34,63,12,434,1554,37,1049,2.78,Audible,11-06-2022,19:30:00,Saturday
USA,01-05-2020 06:37,Tablet,Purchase,/about,referral,134,56,7,60,278,322,426,2.34,amazon.com,01-05-2020,06:37:00,Friday
USA,06-04-2020 06:55,Mobile,Purchase,/about,referral,68,62,20,759,1818,160,915,5.48,amazon.com,06-04-2020,06:55:00,Monday
USA,09-04-2020 00:51,Mobile,Sign Up,/about,referral,66,43,17,648,1708,329,889,4.64,Amazon Music,09-04-2020,00:51:00,Thursday
Australia,02-11-2022 12:02,Mobile,Contact Form,/blog,paid search,156,39,36,797,696,46,152,3.95,Amazon Support,02-11-2022,12:02:00,Wednesday
Australia,03-07-2023 19:57,Mobile,Contact Form,/blog,referral,32,64,31,191,1302,409,787,5.76,Amazon Support,03-07-2023,19:57:00,Monday
Australia,01-09-2021 23:20,Mobile,Purchase,/blog,paid search,100,39,1,697,666,125,416,2.79,amazon.com,01-09-2021,23:20:00,Wednesday
Australia,07-06-2021 09:07,Desktop,Sign Up,/blog,direct,121,57,15,692,483,69,1158,4.9,Amazon Music,07-06-2021,09:07:00,Monday
Canada,07-04-2023 19:41,Tablet,Contact Form,/blog,direct,97,36,23,459,503,43,1114,3.09,Amazon Help,07-04-2023,19:41:00,Friday
Canada,10-02-2022 15:41,Mobile,Download,/blog,paid search,122,27,25,322,563,96,214,5.18,Prime Video,10-02-2022,15:41:00,Thursday
Canada,04-06-2021 12:17,Mobile,Download,/blog,social media,129,31,46,840,1099,290,241,1.46,Amazon Music,04-06-2021,12:17:00,Friday
Canada,09-01-2020 06:03,Desktop,Download,/blog,direct,93,38,10,448,201,45,699,4.66,Amazon Music,09-01-2020,06:03:00,Thursday
Canada,09-04-2022 02:45,Tablet,Sign Up,/blog,social media,111,62,41,577,1750,265,1131,2.43,Amazon Prime,09-04-2022,02:45:00,Saturday
Canada,11-09-2020 00:30,Mobile,Subscribe,/blog,social media,37,24,34,819,1237,225,82,1.95,Amazon Prime,11-09-2020,00:30:00,Friday
Canada,12-06-2021 14:14,Tablet,Subscribe,/blog,referral,125,48,7,537,995,445,612,1.94,Audible,12-06-2021,14:14:00,Saturday
India,03-07-2021 04:01,Desktop,Contact Form,/blog,organic search,150,32,46,210,660,198,337,1.49,Amazon Support,03-07-2021,04:01:00,Saturday
India,12-06-2020 07:24,Desktop,Contact Form,/blog,social media,138,39,49,547,578,331,1429,4.79,Amazon Help,12-06-2020,07:24:00,Friday
India,02-01-2020 05:01,Mobile,Sign Up,/blog,paid search,129,24,44,586,120,139,1177,3.25,Amazon Music,02-01-2020,05:01:00,Thursday
India,07-03-2023 17:38,Mobile,Sign Up,/blog,social media,31,67,21,49,1251,433,1485,4.22,Amazon Prime,07-03-2023,17:38:00,Tuesday
India,06-06-2021 02:50,Mobile,Subscribe,/blog,referral,112,36,28,117,595,207,579,1.08,Audible,06-06-2021,02:50:00,Sunday
India,11-04-2023 10:21,Mobile,Subscribe,/blog,paid search,93,42,5,531,1779,9,1432,1.79,Amazon Prime,11-04-2023,10:21:00,Tuesday
UK,09-03-2021 01:19,Desktop,Contact Form,/blog,direct,124,27,12,164,635,427,978,5.86,Amazon Help,09-03-2021,01:19:00,Tuesday
UK,10-01-2022 09:01,Mobile,Download,/blog,social media,162,51,22,624,128,428,274,5.95,Prime Video,10-01-2022,09:01:00,Monday
UK,12-10-2023 14:44,Mobile,Purchase,/blog,organic search,33,50,18,521,1076,137,1303,4.66,amazon.com,12-10-2023,14:44:00,Thursday
UK,06-09-2023 17:48,Desktop,Sign Up,/blog,social media,122,61,12,818,1906,370,616,4.72,Amazon Prime,06-09-2023,17:48:00,Wednesday
UK,05-02-2020 05:52,Desktop,Subscribe,/blog,direct,128,52,36,132,131,255,1488,2.46,Amazon Web Services (AWS),05-02-2020,05:52:00,Wednesday
USA,04-04-2022 18:04,Desktop,Contact Form,/blog,referral,170,27,14,23,1734,245,1401,3.2,Amazon Support,04-04-2022,18:04:00,Monday
USA,02-10-2023 15:08,Mobile,Contact Form,/blog,referral,157,31,41,804,295,369,409,5.75,AWS Support,02-10-2023,15:08:00,Monday
USA,01-08-2020 09:03,Tablet,Contact Form,/blog,direct,150,62,29,619,1186,371,396,1.29,AWS Support,01-08-2020,09:03:00,Saturday
USA,11-05-2023 13:57,Mobile,Download,/blog,direct,177,31,24,707,1041,310,1310,3.58,Amazon Music,11-05-2023,13:57:00,Thursday
USA,11-10-2020 18:04,Mobile,Download,/blog,referral,86,43,37,318,1859,429,1273,5.95,Amazon Music,11-10-2020,18:04:00,Sunday
USA,07-01-2023 08:26,Mobile,Download,/blog,paid search,67,54,2,300,1220,69,644,4.13,Prime Video,07-01-2023,08:26:00,Saturday
USA,02-10-2023 16:17,Mobile,Purchase,/blog,direct,154,20,23,23,709,475,1020,4.45,amazon.com,02-10-2023,16:17:00,Monday
Australia,10-05-2022 23:10,Mobile,Download,/contact,direct,66,54,6,925,141,49,1062,3.44,Prime Video,10-05-2022,23:10:00,Tuesday
Australia,06-05-2022 23:50,Mobile,Download,/contact,referral,49,69,16,62,1908,98,59,1.54,Prime Video,06-05-2022,23:50:00,Friday
Australia,12-11-2021 13:55,Mobile,Subscribe,/contact,referral,48,52,6,768,967,343,993,3.01,Amazon Web Services (AWS),12-11-2021,13:55:00,Friday
Canada,03-10-2023 13:59,Mobile,Contact Form,/contact,paid search,99,39,41,331,1276,26,1431,4.19,Amazon Support,03-10-2023,13:59:00,Tuesday
Canada,04-04-2020 19:29,Desktop,Sign Up,/contact,referral,34,27,18,112,771,227,890,3.24,Amazon Prime,04-04-2020,19:29:00,Saturday
India,08-10-2020 23:53,Mobile,Purchase,/contact,paid search,82,36,19,588,1143,382,504,1.61,amazon.com,08-10-2020,23:53:00,Thursday
India,02-10-2020 07:57,Mobile,Sign Up,/contact,referral,148,43,2,815,1789,169,785,2.89,Amazon.com,02-10-2020,07:57:00,Friday
India,01-08-2020 17:51,Desktop,Subscribe,/contact,paid search,142,56,12,640,1909,341,838,4.54,Amazon Web Services (AWS),01-08-2020,17:51:00,Saturday
UK,10-05-2023 15:04,Mobile,Download,/contact,paid search,92,25,48,630,156,186,1371,3.25,Amazon Music,10-05-2023,15:04:00,Wednesday
UK,10-11-2022 10:23,Mobile,Download,/contact,organic search,96,62,30,757,1218,186,279,1.76,Prime Video,10-11-2022,10:23:00,Thursday
UK,07-07-2023 12:08,Mobile,Subscribe,/contact,organic search,155,31,9,200,1666,292,1141,5.93,Audible,07-07-2023,12:08:00,Friday
UK,12-01-2023 11:39,Mobile,Subscribe,/contact,referral,85,59,31,147,1092,144,499,4.83,Amazon Web Services (AWS),12-01-2023,11:39:00,Thursday
USA,05-02-2022 16:26,Desktop,Contact Form,/contact,referral,141,23,29,828,720,462,1144,2.6,Amazon Support,05-02-2022,16:26:00,Saturday
USA,06-07-2022 20:36,Mobile,Contact Form,/contact,referral,61,51,37,308,172,443,209,1.61,Amazon Help,06-07-2022,20:36:00,Wednesday
USA,04-08-2023 18:45,Desktop,Download,/contact,referral,138,23,27,827,1443,262,1496,5.85,Amazon Music,04-08-2023,18:45:00,Friday
USA,05-02-2022 03:54,Desktop,Download,/contact,direct,143,48,20,291,890,374,606,2.25,Prime Video,05-02-2022,03:54:00,Saturday
Australia,10-03-2022 13:06,Desktop,Contact Form,/home,paid search,75,21,42,908,1224,154,495,1.25,AWS Support,10-03-2022,13:06:00,Thursday
Australia,05-12-2020 11:28,Desktop,Sign Up,/home,direct,36,28,31,147,1779,458,1308,0.85,Amazon.com,05-12-2020,11:28:00,Saturday
Australia,02-10-2023 14:21,Mobile,Sign Up,/home,organic search,147,36,4,309,197,221,484,1.49,Amazon Music,02-10-2023,14:21:00,Monday
Australia,04-10-2023 08:49,Mobile,Subscribe,/home,social media,65,39,17,909,1513,24,583,3.82,Amazon Web Services (AWS),04-10-2023,08:49:00,Wednesday
Canada,12-10-2022 15:06,Tablet,Download,/home,direct,177,60,2,789,533,131,1296,3.8,Amazon Music,12-10-2022,15:06:00,Wednesday
Canada,10-10-2023 18:36,Mobile,Download,/home,social media,53,68,13,518,1065,256,1199,1.07,Amazon Music,10-10-2023,18:36:00,Tuesday
Canada,01-06-2023 09:20,Mobile,Sign Up,/home,social media,66,55,33,981,292,111,1055,4.54,Amazon.com,01-06-2023,09:20:00,Thursday
Canada,06-03-2020 20:45,Mobile,Subscribe,/home,organic search,140,26,7,39,141,196,803,1.18,Amazon Web Services (AWS),06-03-2020,20:45:00,Friday
Canada,02-08-2022 20:07,Mobile,Subscribe,/home,referral,72,38,9,110,1486,329,1326,3.81,Amazon Web Services (AWS),02-08-2022,20:07:00,Tuesday
Canada,11-05-2020 16:31,Mobile,Subscribe,/home,organic search,160,45,9,781,594,205,217,3.12,Amazon Web Services (AWS),11-05-2020,16:31:00,Monday
India,09-05-2021 00:49,Desktop,Contact Form,/home,organic search,94,43,21,60,716,426,249,1.3,Amazon Help,09-05-2021,00:49:00,Sunday
India,12-01-2021 00:55,Tablet,Contact Form,/home,paid search,134,55,12,515,967,235,1165,1.5,AWS Support,12-01-2021,00:55:00,Tuesday
India,10-02-2021 13:44,Mobile,Download,/home,organic search,168,35,34,276,560,457,380,4.45,Prime Video,10-02-2021,13:44:00,Wednesday
India,06-01-2020 18:22,Mobile,Download,/home,direct,84,41,22,433,574,430,591,3.83,Amazon Music,06-01-2020,18:22:00,Monday
India,03-08-2022 02:17,Mobile,Purchase,/home,paid search,109,51,26,56,887,189,324,3.41,amazon.com,03-08-2022,02:17:00,Wednesday
India,03-06-2022 06:51,Desktop,Sign Up,/home,referral,82,42,24,269,975,286,595,3.84,Amazon.com,03-06-2022,06:51:00,Friday
India,07-06-2023 11:36,Mobile,Subscribe,/home,organic search,100,33,36,99,538,364,1379,3.65,Audible,07-06-2023,11:36:00,Wednesday
UK,08-04-2020 15:16,Mobile,Download,/home,social media,178,28,2,318,161,467,931,1.54,Amazon Music,08-04-2020,15:16:00,Wednesday
UK,10-07-2020 14:42,Mobile,Purchase,/home,organic search,138,40,8,392,565,326,1483,2.43,amazon.com,10-07-2020,14:42:00,Friday
UK,07-07-2021 21:32,Desktop,Purchase,/home,social media,87,69,32,980,563,307,1154,5.34,amazon.com,07-07-2021,21:32:00,Wednesday
USA,05-07-2020 00:41,Mobile,Contact Form,/home,direct,129,54,26,420,1447,140,362,4.43,Amazon Support,05-07-2020,00:41:00,Sunday
USA,07-08-2023 09:09,Mobile,Contact Form,/home,paid search,79,61,22,670,950,155,1325,3.06,AWS Support,07-08-2023,09:09:00,Monday
USA,03-09-2022 08:20,Desktop,Download,/home,direct,59,39,6,451,925,441,177,3.85,Amazon Music,03-09-2022,08:20:00,Saturday
USA,05-01-2022 23:22,Desktop,Sign Up,/home,direct,44,45,10,682,977,31,808,3.95,Amazon Prime,05-01-2022,23:22:00,Wednesday
Australia,04-07-2022 03:37,Desktop,Download,/products,social media,69,27,33,322,998,18,1197,2.08,Amazon Music,04-07-2022,03:37:00,Monday
Australia,03-11-2020 16:42,Mobile,Download,/products,direct,63,63,9,334,1722,352,977,2.61,Prime Video,03-11-2020,16:42:00,Tuesday
Australia,07-12-2022 03:51,Mobile,Purchase,/products,referral,173,65,37,233,1970,62,800,3.83,amazon.com,07-12-2022,03:51:00,Wednesday
Australia,08-09-2020 11:28,Desktop,Sign Up,/products,paid search,130,21,26,657,1844,357,771,4.64,Amazon Music,08-09-2020,11:28:00,Tuesday
Australia,08-09-2022 14:26,Desktop,Subscribe,/products,social media,40,28,8,613,1602,344,320,3.97,Amazon Web Services (AWS),08-09-2022,14:26:00,Thursday
Canada,09-02-2022 03:36,Desktop,Download,/products,social media,110,54,17,773,1948,38,792,4.64,Prime Video,09-02-2022,03:36:00,Wednesday
Canada,06-09-2023 05:26,Mobile,Purchase,/products,direct,140,66,33,198,438,73,1299,0.86,amazon.com,06-09-2023,05:26:00,Wednesday
Canada,07-05-2020 12:24,Tablet,Sign Up,/products,direct,116,24,23,532,214,156,1088,5.93,Amazon Prime,07-05-2020,12:24:00,Thursday
India,11-12-2020 05:47,Desktop,Contact Form,/products,referral,51,21,22,383,1699,402,1102,5.13,AWS Support,11-12-2020,05:47:00,Friday
India,08-01-2023 12:50,Tablet,Download,/products,direct,37,27,15,108,539,70,1314,4.47,Amazon Music,08-01-2023,12:50:00,Sunday
India,12-06-2023 19:30,Mobile,Sign Up,/products,direct,124,42,2,833,334,195,693,1.4,Amazon.com,12-06-2023,19:30:00,Monday
UK,07-07-2020 08:27,Desktop,Contact Form,/products,paid search,45,53,35,532,1797,424,1221,4.18,Amazon Help,07-07-2020,08:27:00,Tuesday
UK,06-02-2021 21:05,Desktop,Sign Up,/products,direct,160,64,34,785,646,440,949,1.87,Amazon.com,06-02-2021,21:05:00,Saturday
USA,10-08-2020 20:43,Tablet,Download,/products,paid search,116,58,8,562,1988,302,1097,2.62,Prime Video,10-08-2020,20:43:00,Monday
USA,07-03-2022 06:04,Mobile,Purchase,/products,direct,45,29,29,722,1211,395,1103,2.87,amazon.com,07-03-2022,06:04:00,Monday
USA,08-08-2022 13:22,Mobile,Purchase,/products,organic search,68,38,18,827,986,207,595,4.02,amazon.com,08-08-2022,13:22:00,Monday
USA,09-07-2022 21:04,Desktop,Sign Up,/products,direct,127,69,23,178,1849,432,1257,0.93,Amazon Prime,09-07-2022,21:04:00,Saturday
Australia,11-09-2023 22:26,Mobile,Contact Form,/about,social media,118,62,31,156,911,322,969,2.32,AWS Support,11-09-2023,22:26:00,Monday
Australia,10-08-2021 00:52,Mobile,Download,/about,organic search,81,35,37,778,1594,185,998,5.19,Prime Video,10-08-2021,00:52:00,Tuesday
Canada,07-12-2020 18:04,Mobile,Download,/about,social media,145,40,19,34,173,164,650,4.92,Amazon Music,07-12-2020,18:04:00,Monday
India,01-02-2021 04:25,Mobile,Contact Form,/about,paid search,107,26,32,383,1691,431,1316,2.25,AWS Support,01-02-2021,04:25:00,Monday
India,06-01-2022 03:54,Desktop,Purchase,/about,referral,124,21,1,559,743,186,170,4.87,amazon.com,06-01-2022,03:54:00,Thursday
India,08-01-2022 05:40,Mobile,Purchase,/about,organic search,102,66,18,653,740,387,144,1.58,amazon.com,08-01-2022,05:40:00,Saturday
UK,04-01-2021 22:23,Mobile,Sign Up,/about,referral,162,29,6,756,407,428,1441,2.1,Amazon Music,04-01-2021,22:23:00,Monday
UK,01-12-2022 07:44,Mobile,Subscribe,/about,direct,168,41,9,106,376,363,1481,4.25,Amazon Web Services (AWS),01-12-2022,07:44:00,Thursday
UK,03-02-2023 16:50,Mobile,Subscribe,/about,organic search,113,62,43,90,782,471,1055,1.5,Amazon Web Services (AWS),03-02-2023,16:50:00,Friday
USA,04-09-2023 11:52,Desktop,Purchase,/about,social media,142,49,38,598,663,173,1211,2.03,amazon.com,04-09-2023,11:52:00,Monday
USA,10-12-2020 08:39,Desktop,Sign Up,/about,social media,57,31,22,119,1817,169,1413,5.37,Amazon Music,10-12-2020,08:39:00,Thursday
USA,01-09-2022 21:52,Mobile,Sign Up,/about,paid search,148,49,27,639,784,272,1387,2.88,Amazon Music,01-09-2022,21:52:00,Thursday
Australia,01-09-2022 10:11,Mobile,Contact Form,/blog,organic search,159,29,30,128,156,99,55,1.22,Amazon Help,01-09-2022,10:11:00,Thursday
Australia,07-08-2021 10:14,Mobile,Contact Form,/blog,organic search,133,61,14,494,874,418,994,4.37,Amazon Help,07-08-2021,10:14:00,Saturday
Australia,04-10-2022 15:52,Mobile,Download,/blog,social media,172,43,39,154,928,455,254,4,Prime Video,04-10-2022,15:52:00,Tuesday
Australia,04-09-2020 22:42,Mobile,Purchase,/blog,paid search,76,30,45,313,399,234,1015,4.08,amazon.com,04-09-2020,22:42:00,Friday
Australia,03-08-2021 07:42,Desktop,Purchase,/blog,paid search,80,47,7,409,1816,250,656,4.78,amazon.com,03-08-2021,07:42:00,Tuesday
Australia,03-12-2022 21:48,Mobile,Subscribe,/blog,organic search,75,31,23,790,1278,281,1279,5.6,Audible,03-12-2022,21:48:00,Saturday
Australia,02-03-2020 00:07,Tablet,Subscribe,/blog,organic search,172,34,7,895,126,70,373,2.06,Audible,02-03-2020,00:07:00,Monday
Australia,01-09-2020 03:12,Mobile,Subscribe,/blog,paid search,104,53,25,760,1000,282,1444,4.9,Audible,01-09-2020,03:12:00,Tuesday
Canada,07-12-2020 09:58,Mobile,Download,/blog,referral,86,55,44,128,1015,48,701,1.75,Prime Video,07-12-2020,09:58:00,Monday
Canada,05-12-2021 14:41,Mobile,Purchase,/blog,social media,126,69,2,846,1373,212,421,5.01,amazon.com,05-12-2021,14:41:00,Sunday
India,08-12-2021 20:52,Mobile,Contact Form,/blog,organic search,52,31,43,736,1079,470,1067,2.07,AWS Support,08-12-2021,20:52:00,Wednesday
India,09-07-2022 14:58,Mobile,Purchase,/blog,paid search,74,27,8,733,1401,97,1073,3.25,amazon.com,09-07-2022,14:58:00,Saturday
India,07-10-2023 06:48,Desktop,Purchase,/blog,referral,176,67,23,841,375,414,587,4.59,amazon.com,07-10-2023,06:48:00,Saturday
India,04-11-2021 08:30,Tablet,Subscribe,/blog,paid search,63,27,9,368,403,79,728,5.91,Amazon Web Services (AWS),04-11-2021,08:30:00,Thursday
India,04-04-2021 13:49,Mobile,Subscribe,/blog,social media,100,46,18,560,1163,135,284,4.46,Amazon Web Services (AWS),04-04-2021,13:49:00,Sunday
UK,10-06-2023 05:34,Mobile,Download,/blog,paid search,166,66,22,218,1208,151,704,1.69,Amazon Music,10-06-2023,05:34:00,Saturday
UK,06-06-2022 17:29,Desktop,Subscribe,/blog,referral,96,58,38,319,909,154,1178,4.96,Amazon Prime,06-06-2022,17:29:00,Monday
USA,11-06-2021 17:38,Mobile,Download,/blog,direct,134,61,31,758,450,439,799,5.37,Amazon Music,11-06-2021,17:38:00,Friday
USA,03-01-2020 11:44,Mobile,Sign Up,/blog,direct,38,66,47,704,517,174,1352,5.21,Amazon Prime,03-01-2020,11:44:00,Friday
Australia,02-08-2022 09:34,Mobile,Purchase,/contact,organic search,176,57,15,955,1145,493,701,1.09,amazon.com,02-08-2022,09:34:00,Tuesday
Australia,10-08-2020 04:14,Mobile,Sign Up,/contact,paid search,43,22,21,433,1818,260,862,2.73,Amazon.com,10-08-2020,04:14:00,Monday
Australia,06-03-2020 03:26,Desktop,Sign Up,/contact,social media,155,39,40,975,1157,78,1026,2.21,Amazon Music,06-03-2020,03:26:00,Friday
Australia,01-05-2020 11:18,Desktop,Subscribe,/contact,social media,101,38,21,89,165,101,133,5.98,Amazon Prime,01-05-2020,11:18:00,Friday
Canada,01-09-2023 22:09,Mobile,Download,/contact,social media,39,69,16,568,1964,394,82,2.7,Amazon Music,01-09-2023,22:09:00,Friday
Canada,05-06-2023 21:17,Mobile,Purchase,/contact,organic search,173,64,27,111,218,146,1480,4.68,amazon.com,05-06-2023,21:17:00,Monday
Canada,05-03-2020 21:40,Mobile,Sign Up,/contact,organic search,102,43,38,929,1301,291,326,4.92,Amazon.com,05-03-2020,21:40:00,Thursday
Canada,08-09-2020 12:20,Mobile,Sign Up,/contact,direct,30,64,49,996,1674,297,274,5.19,Amazon Music,08-09-2020,12:20:00,Tuesday
India,04-09-2023 15:54,Tablet,Contact Form,/contact,paid search,75,58,42,326,1216,351,1035,1.11,AWS Support,04-09-2023,15:54:00,Monday
India,10-08-2020 02:00,Tablet,Sign Up,/contact,paid search,178,48,41,442,398,492,1499,3.49,Amazon.com,10-08-2020,02:00:00,Monday
India,07-10-2022 11:32,Mobile,Sign Up,/contact,referral,43,56,40,581,964,98,658,3.58,Amazon Music,07-10-2022,11:32:00,Friday
India,07-09-2020 01:04,Mobile,Sign Up,/contact,social media,86,58,46,505,1872,473,921,3.32,Amazon Prime,07-09-2020,01:04:00,Monday
India,05-12-2022 06:31,Mobile,Subscribe,/contact,paid search,167,22,43,724,157,229,144,5.5,Amazon Web Services (AWS),05-12-2022,06:31:00,Monday
UK,06-06-2020 22:16,Mobile,Contact Form,/contact,social media,143,34,40,94,1448,346,926,5.54,Amazon Help,06-06-2020,22:16:00,Saturday
UK,03-09-2021 15:06,Tablet,Download,/contact,social media,89,26,3,302,939,106,849,4.55,Amazon Music,03-09-2021,15:06:00,Friday
UK,07-03-2023 23:05,Desktop,Download,/contact,direct,132,66,10,158,1696,284,588,3.23,Amazon Music,07-03-2023,23:05:00,Tuesday
UK,05-10-2021 02:54,Mobile,Purchase,/contact,referral,87,40,11,603,1102,147,114,5.62,amazon.com,05-10-2021,02:54:00,Tuesday
UK,08-06-2020 23:54,Tablet,Purchase,/contact,paid search,66,43,14,426,1035,267,232,3.75,amazon.com,08-06-2020,23:54:00,Monday
UK,01-02-2020 03:20,Mobile,Sign Up,/contact,social media,77,61,3,134,1575,431,1496,3.85,Amazon Prime,01-02-2020,03:20:00,Saturday
UK,05-06-2023 01:02,Desktop,Sign Up,/contact,direct,140,64,32,443,769,295,754,4.55,Amazon Prime,05-06-2023,01:02:00,Monday
USA,06-03-2021 00:39,Desktop,Contact Form,/contact,social media,30,60,17,341,923,381,976,5.87,Amazon Help,06-03-2021,00:39:00,Saturday
USA,04-02-2020 19:57,Mobile,Contact Form,/contact,paid search,100,65,32,342,1865,448,163,3.01,Amazon Support,04-02-2020,19:57:00,Tuesday
USA,06-10-2023 04:29,Mobile,Contact Form,/contact,referral,49,67,39,348,1760,466,1025,1.97,AWS Support,06-10-2023,04:29:00,Friday
USA,06-06-2022 01:25,Mobile,Purchase,/contact,direct,120,44,37,870,1781,217,663,5.26,amazon.com,06-06-2022,01:25:00,Monday
USA,05-05-2021 17:22,Mobile,Sign Up,/contact,social media,59,34,43,51,653,284,928,3.6,Amazon Music,05-05-2021,17:22:00,Wednesday
USA,12-02-2023 07:55,Mobile,Subscribe,/contact,organic search,121,26,23,243,1830,421,258,1.67,Amazon Prime,12-02-2023,07:55:00,Sunday
USA,03-08-2020 01:56,Mobile,Subscribe,/contact,direct,79,69,44,296,1379,70,344,5.39,Amazon Prime,03-08-2020,01:56:00,Monday
USA,10-08-2020 17:10,Mobile,Subscribe,/contact,referral,40,69,48,51,1154,107,461,1.58,Audible,10-08-2020,17:10:00,Monday
Australia,08-01-2022 11:17,Desktop,Contact Form,/home,social media,126,49,25,281,1445,422,447,5,Amazon Help,08-01-2022,11:17:00,Saturday
Australia,09-06-2021 02:07,Mobile,Contact Form,/home,organic search,85,53,45,511,247,343,808,4.77,Amazon Support,09-06-2021,02:07:00,Wednesday
Australia,03-02-2021 02:08,Mobile,Purchase,/home,social media,142,65,14,193,499,20,1324,5.95,amazon.com,03-02-2021,02:08:00,Wednesday
Australia,05-05-2020 12:59,Mobile,Sign Up,/home,paid search,172,37,13,17,1984,104,890,3.43,Amazon.com,05-05-2020,12:59:00,Tuesday
Canada,12-02-2020 06:14,Desktop,Download,/home,direct,68,66,38,203,426,360,637,5.83,Prime Video,12-02-2020,06:14:00,Wednesday
Canada,12-05-2020 19:23,Desktop,Sign Up,/home,direct,153,40,43,787,219,394,1033,4.79,Amazon Music,12-05-2020,19:23:00,Tuesday
India,05-05-2020 03:45,Mobile,Download,/home,social media,106,31,31,666,1659,457,1183,2.77,Prime Video,05-05-2020,03:45:00,Tuesday
India,08-07-2021 01:46,Mobile,Download,/home,paid search,172,61,27,620,1940,427,1120,2.16,Prime Video,08-07-2021,01:46:00,Thursday
India,08-11-2020 09:16,Mobile,Purchase,/home,social media,52,38,30,557,657,268,97,2.84,amazon.com,08-11-2020,09:16:00,Sunday
India,05-10-2021 16:15,Tablet,Subscribe,/home,referral,51,36,44,770,350,202,172,1.65,Amazon Prime,05-10-2021,16:15:00,Tuesday
India,08-08-2022 08:21,Mobile,Subscribe,/home,organic search,134,39,49,321,1850,85,132,4.64,Audible,08-08-2022,08:21:00,Monday
India,02-04-2021 23:15,Mobile,Subscribe,/home,organic search,84,49,39,789,1227,444,993,2.42,Audible,02-04-2021,23:15:00,Friday
UK,03-02-2023 04:52,Mobile,Contact Form,/home,organic search,110,32,8,56,575,466,430,3.19,Amazon Help,03-02-2023,04:52:00,Friday
UK,06-01-2021 05:20,Desktop,Contact Form,/home,paid search,38,47,8,775,1354,54,1117,5.26,AWS Support,06-01-2021,05:20:00,Wednesday
UK,10-08-2023 05:44,Desktop,Download,/home,organic search,101,37,24,759,1899,153,1455,5.71,Amazon Music,10-08-2023,05:44:00,Thursday
UK,06-08-2022 08:05,Mobile,Subscribe,/home,organic search,36,69,17,43,976,35,279,0.97,Audible,06-08-2022,08:05:00,Saturday
USA,07-09-2021 14:51,Mobile,Download,/home,organic search,125,64,26,552,1681,227,1114,5.21,Prime Video,07-09-2021,14:51:00,Tuesday
USA,07-12-2020 20:59,Desktop,Purchase,/home,referral,129,53,34,397,426,125,206,2.63,amazon.com,07-12-2020,20:59:00,Monday
USA,08-09-2022 13:48,Mobile,Sign Up,/home,paid search,122,22,4,472,1564,90,1115,2.65,Amazon Prime,08-09-2022,13:48:00,Thursday
USA,05-09-2020 11:03,Desktop,Sign Up,/home,referral,69,54,21,546,1474,166,830,4.01,Amazon.com,05-09-2020,11:03:00,Saturday
USA,11-09-2021 10:54,Mobile,Subscribe,/home,organic search,79,44,36,673,451,83,340,2.05,Amazon Prime,11-09-2021,10:54:00,Saturday
Australia,05-12-2022 07:42,Mobile,Contact Form,/products,organic search,63,49,14,163,178,146,1486,4.36,Amazon Support,05-12-2022,07:42:00,Monday
Australia,03-06-2023 01:44,Desktop,Purchase,/products,organic search,122,36,37,89,609,254,831,2.19,amazon.com,03-06-2023,01:44:00,Saturday
Australia,03-06-2023 14:07,Mobile,Purchase,/products,social media,173,40,33,606,1418,452,154,3.77,amazon.com,03-06-2023,14:07:00,Saturday
Canada,06-06-2021 12:40,Mobile,Contact Form,/products,organic search,95,52,9,678,360,137,1258,1.76,Amazon Help,06-06-2021,12:40:00,Sunday
Canada,04-12-2020 16:01,Desktop,Contact Form,/products,organic search,117,58,40,235,1529,477,1020,5.67,AWS Support,04-12-2020,16:01:00,Friday
Canada,04-06-2020 17:43,Tablet,Download,/products,direct,39,44,44,377,587,332,1249,1.12,Prime Video,04-06-2020,17:43:00,Thursday
India,07-03-2023 19:48,Mobile,Contact Form,/products,organic search,134,20,25,17,1561,272,837,2.34,Amazon Support,07-03-2023,19:48:00,Tuesday
India,05-03-2022 03:32,Mobile,Contact Form,/products,referral,119,65,16,955,1856,159,243,0.88,Amazon Help,05-03-2022,03:32:00,Saturday
India,10-02-2022 21:49,Desktop,Purchase,/products,social media,168,59,35,269,1524,310,224,2.57,amazon.com,10-02-2022,21:49:00,Thursday
India,09-07-2020 01:10,Mobile,Subscribe,/products,organic search,129,25,30,272,811,222,934,2.84,Amazon Prime,09-07-2020,01:10:00,Thursday
